gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,actq,atq,ceqq,dlcq,dlttq,dpq,dvpq,glaq,glpq,lctq,ltq,niitq,niq,piq,revtq,txtq,uceqq,xintq,capxy,oancfy,costat,dvpspq,prclq
001078,2015-03-31,2015,1,INDL,C,D,STD,ABT,USD,2015Q1,2015Q1,19985.0000,43095.0000,21874.0000,2972.0000,5931.0000,358.0000,0.0000,,,9206.0000,21107.0000,,2292.0000,657.0000,4897.0000,124.0000,,40.0000,235.0000,2.0000,A,0.2400,43.355000000000
001078,2015-06-30,2015,2,INDL,C,D,STD,ABT,USD,2015Q2,2015Q2,21131.0000,44125.0000,23008.0000,2899.0000,5862.0000,340.0000,0.0000,134.5500,207.0000,9185.0000,20999.0000,,784.0000,991.0000,5170.0000,200.0000,,48.0000,451.0000,943.0000,A,0.2400,45.545000000000
001078,2015-09-30,2015,3,INDL,C,D,STD,ABT,USD,2015Q3,2015Q3,15894.0000,41725.0000,21111.0000,2402.0000,5798.0000,374.0000,0.0000,0.0000,0.0000,8755.0000,20506.0000,,580.0000,717.0000,5150.0000,118.0000,,44.0000,862.0000,2138.0000,A,0.2400,39.000000000000
001078,2015-12-31,2015,4,INDL,C,D,STD,ABT,USD,2015Q4,2015Q4,14155.0000,41247.0000,21211.0000,3130.0000,5871.0000,400.0000,0.0000,0.0000,0.0000,9186.0000,19921.0000,,767.0000,835.0000,5188.0000,135.0000,,46.0000,1110.0000,2966.0000,A,0.2400,39.280000000000
001078,2016-03-31,2016,1,INDL,C,D,STD,ABT,USD,2016Q1,2016Q1,12406.0000,39637.0000,20722.0000,2613.0000,5977.0000,347.0000,0.0000,,,8393.0000,18795.0000,,316.0000,6.0000,4885.0000,-54.0000,,50.0000,243.0000,-93.0000,A,0.2600,36.000000000000
001078,2016-06-30,2016,2,INDL,C,D,STD,ABT,USD,2016Q2,2016Q2,12988.0000,39831.0000,20675.0000,2896.0000,6016.0000,347.0000,0.0000,,,8673.0000,19036.0000,,615.0000,719.0000,5333.0000,116.0000,,52.0000,490.0000,816.0000,A,0.2600,36.760000000000
001078,2016-09-30,2016,3,INDL,C,D,STD,ABT,USD,2016Q3,2016Q3,12978.0000,39497.0000,20776.0000,2535.0000,5975.0000,340.0000,0.0000,,,8321.0000,18601.0000,,-329.0000,-174.0000,5302.0000,178.0000,,53.0000,802.0000,2033.0000,A,0.2600,39.160000000000
001078,2016-12-31,2016,4,INDL,C,D,STD,ABT,USD,2016Q4,2016Q4,26776.0000,52666.0000,20538.0000,1325.0000,20681.0000,319.0000,0.0000,,,6660.0000,31949.0000,,798.0000,882.0000,5333.0000,110.0000,,58.0000,1121.0000,3203.0000,A,0.2600,37.380000000000
001078,2017-03-31,2017,1,INDL,C,D,STD,ABT,USD,2017Q1,2017Q1,19329.0000,70887.0000,31362.0000,210.0000,23764.0000,774.0000,0.0000,721.0000,1151.0000,6646.0000,39340.0000,,419.0000,739.0000,6335.0000,350.0000,,216.0000,272.0000,574.0000,A,0.2650,38.340000000000
001078,2017-06-30,2017,2,INDL,C,D,STD,ABT,USD,2017Q2,2017Q2,19983.0000,71151.0000,31602.0000,221.0000,23810.0000,648.0000,0.0000,0.0000,0.0000,6803.0000,39363.0000,,283.0000,300.0000,6637.0000,25.0000,,219.0000,527.0000,1925.0000,A,0.2650,42.310000000000
