gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
002771,01,2015-01-31,CSL,13069078.0000,89.6800,-0.6206,1,64166000,2015,201020,20
002771,01,2015-02-28,CSL,7480256.0000,93.0700,4.0589,2,64997000,2015,201020,20
002771,01,2015-03-31,CSL,7777122.0000,92.6300,-0.4728,3,65159000,2015,201020,20
002771,01,2015-04-30,CSL,8393568.0000,96.5000,4.1779,4,65084000,2015,201020,20
002771,01,2015-05-31,CSL,5186819.0000,99.1500,3.0052,5,65084000,2015,201020,20
002771,01,2015-06-30,CSL,5317345.0000,100.1200,0.9783,6,65084000,2015,201020,20
002771,01,2015-07-31,CSL,7761697.0000,101.2600,1.1386,7,65229000,2015,201020,20
002771,01,2015-08-31,CSL,7017848.0000,100.7000,-0.2568,8,65229000,2015,201020,20
002771,01,2015-09-30,CSL,7764752.0000,87.3800,-13.2274,9,65229000,2015,201020,20
002771,01,2015-10-31,CSL,16443808.0000,87.0000,-0.4349,10,65005000,2015,201020,20
002771,01,2015-11-30,CSL,11638563.0000,88.4500,2.0115,11,65005000,2015,201020,20
002771,01,2015-12-31,CSL,9115268.0000,88.6900,0.2713,12,65005000,2015,201020,20
002771,01,2016-01-31,CSL,9432306.0000,83.6800,-5.6489,1,65005000,2016,201020,20
002771,01,2016-02-29,CSL,11201351.0000,90.1600,8.1023,2,64194000,2016,201020,20
002771,01,2016-03-31,CSL,8779905.0000,99.5000,10.3594,3,64194000,2016,201020,20
002771,01,2016-04-30,CSL,8995407.0000,101.9000,2.4121,4,64191000,2016,201020,20
002771,01,2016-05-31,CSL,8294256.0000,103.8200,2.1786,5,64191000,2016,201020,20
002771,01,2016-06-30,CSL,9628472.0000,105.6800,1.7916,6,64191000,2016,201020,20
002771,01,2016-07-31,CSL,6990728.0000,103.2900,-2.2615,7,64624000,2016,201020,20
002771,01,2016-08-31,CSL,6442019.0000,104.8600,1.8588,8,64624000,2016,201020,20
002771,01,2016-09-30,CSL,6142351.0000,102.5700,-2.1839,9,64624000,2016,201020,20
002771,01,2016-10-31,CSL,7370585.0000,104.8500,2.2229,10,64504000,2016,201020,20
002771,01,2016-11-30,CSL,8701922.0000,112.1700,7.3152,11,64504000,2016,201020,20
002771,01,2016-12-31,CSL,6294480.0000,110.2900,-1.6760,12,64504000,2016,201020,20
002771,01,2017-01-31,CSL,7128927.0000,109.1100,-1.0699,1,64504000,2017,201020,20
002771,01,2017-02-28,CSL,9359056.0000,103.3000,-5.0041,2,64566000,2017,201020,20
002771,01,2017-03-31,CSL,10294078.0000,106.4100,3.0106,3,64586000,2017,201020,20
002771,01,2017-04-30,CSL,9732306.0000,101.3900,-4.7176,4,64599000,2017,201020,20
002771,01,2017-05-31,CSL,15093875.0000,101.3300,0.2860,5,64599000,2017,201020,20
002771,01,2017-06-30,CSL,16705149.0000,95.4000,-5.8522,6,64599000,2017,201020,20
002771,01,2017-07-31,CSL,10228617.0000,97.5900,2.2956,7,63172000,2017,201020,20
002771,01,2017-08-31,CSL,8223149.0000,94.6900,-2.5925,8,63172000,2017,201020,20
002771,01,2017-09-30,CSL,7855396.0000,100.2900,5.9140,9,63172000,2017,201020,20
002771,01,2017-10-31,CSL,8731039.0000,109.8300,9.5124,10,61964000,2017,201020,20
002771,01,2017-11-30,CSL,5939140.0000,114.9700,5.0168,11,61992000,2017,201020,20
002771,01,2017-12-31,CSL,5529761.0000,113.6500,-1.1481,12,61992000,2017,201020,20
002771,01,2018-01-31,CSL,8167734.0000,114.2100,0.4927,1,61992000,2018,201020,20
002771,01,2018-02-28,CSL,12165604.0000,102.9100,-9.5701,2,61789000,2018,201020,20
002771,01,2018-03-31,CSL,9102974.0000,104.4100,1.4576,3,61373000,2018,201020,20
002771,01,2018-04-30,CSL,12165454.0000,107.7300,3.1798,4,60947000,2018,201020,20
002771,01,2018-05-31,CSL,9275428.0000,107.3900,0.0278,5,60947000,2018,201020,20
002771,01,2018-06-30,CSL,9086663.0000,108.3100,0.8567,6,60947000,2018,201020,20
002771,01,2018-07-31,CSL,9695020.0000,122.8400,13.4152,7,59737000,2018,201020,20
002771,01,2018-08-31,CSL,7374331.0000,126.8100,3.5575,8,59737000,2018,201020,20
002771,01,2018-09-30,CSL,8462502.0000,121.8000,-3.9508,9,59737000,2018,201020,20
002771,01,2018-10-31,CSL,13756328.0000,96.5900,-20.6979,10,59545000,2018,201020,20
002771,01,2018-11-30,CSL,7807849.0000,105.5200,9.6594,11,59545000,2018,201020,20
002771,01,2018-12-31,CSL,7627854.0000,100.5200,-4.7384,12,59545000,2018,201020,20
002771,01,2019-01-31,CSL,7393323.0000,107.7300,7.1727,1,59545000,2019,201020,20
002771,01,2019-02-28,CSL,8273259.0000,123.0800,14.6199,2,57278000,2019,201020,20
002771,01,2019-03-31,CSL,8486782.0000,122.6200,-0.3737,3,57199000,2019,201020,20
002771,01,2019-04-30,CSL,9322210.0000,141.4200,15.3319,4,57061000,2019,201020,20
002771,01,2019-05-31,CSL,6596049.0000,133.3100,-5.4518,5,57061000,2019,201020,20
002771,01,2019-06-30,CSL,7746142.0000,140.4100,5.3259,6,57061000,2019,201020,20
002771,01,2019-07-31,CSL,8317174.0000,144.2100,2.7064,7,56606000,2019,201020,20
002771,01,2019-08-31,CSL,8234270.0000,144.9600,0.8668,8,56606000,2019,201020,20
002771,01,2019-09-30,CSL,7548628.0000,145.5400,0.4001,9,56606000,2019,201020,20
002771,01,2019-10-31,CSL,7510885.0000,152.2700,4.6242,10,56673000,2019,201020,20
002771,01,2019-11-30,CSL,7918016.0000,155.9800,2.7648,11,56673000,2019,201020,20
002771,01,2019-12-31,CSL,7443991.0000,161.8400,3.7569,12,56673000,2019,201020,20
002771,01,2020-01-31,CSL,7618105.0000,156.2300,-3.4664,1,56673000,2020,201020,20
002771,01,2020-02-29,CSL,10367569.0000,145.2900,-6.6825,2,55915000,2020,201020,20
002771,01,2020-03-31,CSL,14963468.0000,125.2800,-13.7725,3,55690000,2020,201020,20
002771,01,2020-04-30,CSL,9241229.0000,120.9600,-3.4483,4,54913000,2020,201020,20
002771,01,2020-05-31,CSL,9817863.0000,119.8600,-0.4960,5,54913000,2020,201020,20
002771,01,2020-06-30,CSL,11690223.0000,119.6700,-0.1585,6,54913000,2020,201020,20
002771,01,2020-07-31,CSL,12198074.0000,119.0800,-0.4930,7,54580000,2020,201020,20
002771,01,2020-08-31,CSL,7539874.0000,130.9500,10.4090,8,54580000,2020,201020,20
002771,01,2020-09-30,CSL,8516942.0000,122.3700,-6.5521,9,54580000,2020,201020,20
002771,01,2020-10-31,CSL,6345261.0000,123.8700,1.2258,10,53379000,2020,201020,20
002771,01,2020-11-30,CSL,6256037.0000,144.8300,17.3448,11,53379000,2020,201020,20
002771,01,2020-12-31,CSL,6045815.0000,156.1800,7.8368,12,53379000,2020,201020,20
002771,01,2021-01-31,CSL,5175100.0000,144.9300,-7.2032,1,53379000,2021,201020,20
002771,01,2021-02-28,CSL,6078011.0000,145.2500,0.5830,2,53291000,2021,201020,20
002771,01,2021-03-31,CSL,7784605.0000,164.5800,13.3081,3,52680000,2021,201020,20
002771,01,2021-04-30,CSL,7661234.0000,191.6500,16.4479,4,52192000,2021,201020,20
002771,01,2021-05-31,CSL,4549484.0000,192.3200,0.6235,5,52192000,2021,201020,20
002771,01,2021-06-30,CSL,7093816.0000,191.3800,-0.4888,6,52192000,2021,201020,20
002771,01,2021-07-31,CSL,6417696.0000,202.2400,5.6746,7,52126000,2021,201020,20
002771,01,2021-08-31,CSL,5257689.0000,210.7400,4.4699,8,52126000,2021,201020,20
002771,01,2021-09-30,CSL,6904746.0000,198.7900,-5.6705,9,52126000,2021,201020,20
002771,01,2021-10-31,CSL,5685680.0000,222.9200,12.1384,10,52285000,2021,201020,20
002771,01,2021-11-30,CSL,3633654.0000,225.2000,1.2650,11,52285000,2021,201020,20
002771,01,2021-12-31,CSL,5342330.0000,248.1200,10.1776,12,52285000,2021,201020,20
002771,01,2022-01-31,CSL,5601653.0000,223.4400,-9.9468,1,52285000,2022,201020,20
002771,01,2022-02-28,CSL,5798166.0000,237.4000,6.4894,2,52080000,2022,201020,20
002771,01,2022-03-31,CSL,8173919.0000,245.9200,3.5889,3,52068000,2022,201020,20
002771,01,2022-04-30,CSL,8006082.0000,259.3600,5.4652,4,52068000,2022,201020,20
002771,01,2022-05-31,CSL,7412789.0000,254.4300,-1.6926,5,51698000,2022,201020,20
002771,01,2022-06-30,CSL,7278559.0000,238.6100,-6.2178,6,51698000,2022,201020,20
002771,01,2022-07-31,CSL,7770640.0000,296.1000,24.0937,7,51698000,2022,201020,20
