gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
001078,01,2015-01-31,ABT,116068599.0000,44.7600,-0.0444,1,1505791000,2015,351010,35
001078,01,2015-02-28,ABT,112821349.0000,47.3700,5.8311,2,1505791000,2015,351010,35
001078,01,2015-03-31,ABT,113223820.0000,46.3300,-2.1955,3,1508978000,2015,351010,35
001078,01,2015-04-30,ABT,97933528.0000,46.4200,0.7123,4,1508978000,2015,351010,35
001078,01,2015-05-31,ABT,88975776.0000,48.6000,4.6963,5,1488757000,2015,351010,35
001078,01,2015-06-30,ABT,108271153.0000,49.0800,0.9877,6,1488757000,2015,351010,35
001078,01,2015-07-31,ABT,117895742.0000,50.6900,3.7694,7,1488757000,2015,351010,35
001078,01,2015-08-31,ABT,147737601.0000,45.2900,-10.6530,8,1490441000,2015,351010,35
001078,01,2015-09-30,ABT,160027925.0000,40.2200,-11.1945,9,1490441000,2015,351010,35
001078,01,2015-10-31,ABT,173147388.0000,44.8000,11.9841,10,1490441000,2015,351010,35
001078,01,2015-11-30,ABT,109703639.0000,44.9200,0.2679,11,1491720000,2015,351010,35
001078,01,2015-12-31,ABT,120149442.0000,44.9100,-0.0223,12,1491720000,2015,351010,35
001078,01,2016-01-31,ABT,178211840.0000,37.8500,-15.1414,1,1491720000,2016,351010,35
001078,01,2016-02-29,ABT,148832626.0000,38.7400,2.3514,2,1491720000,2016,351010,35
001078,01,2016-03-31,ABT,146234435.0000,41.8300,7.9763,3,1473242000,2016,351010,35
001078,01,2016-04-30,ABT,180287333.0000,38.9000,-6.3830,4,1469519000,2016,351010,35
001078,01,2016-05-31,ABT,251964756.0000,39.6300,1.8766,5,1469152000,2016,351010,35
001078,01,2016-06-30,ABT,224829945.0000,39.3100,-0.8075,6,1469152000,2016,351010,35
001078,01,2016-07-31,ABT,218057256.0000,44.7500,14.5001,7,1469152000,2016,351010,35
001078,01,2016-08-31,ABT,227336268.0000,42.0200,-6.1006,8,1469995000,2016,351010,35
001078,01,2016-09-30,ABT,161468471.0000,42.2900,0.6426,9,1469995000,2016,351010,35
001078,01,2016-10-31,ABT,187703410.0000,39.2400,-6.5973,10,1469995000,2016,351010,35
001078,01,2016-11-30,ABT,180419621.0000,38.0700,-2.9817,11,1472310000,2016,351010,35
001078,01,2016-12-31,ABT,178261008.0000,38.4100,0.8931,12,1472310000,2016,351010,35
001078,01,2017-01-31,ABT,211230835.0000,41.7700,9.4376,1,1721111000,2017,351010,35
001078,01,2017-02-28,ABT,165448294.0000,45.0800,7.9243,2,1727998000,2017,351010,35
001078,01,2017-03-31,ABT,147273351.0000,44.4100,-1.4862,3,1727998000,2017,351010,35
001078,01,2017-04-30,ABT,135408756.0000,43.6400,-1.1371,4,1727998000,2017,351010,35
001078,01,2017-05-31,ABT,132858327.0000,45.6600,4.6288,5,1735272000,2017,351010,35
001078,01,2017-06-30,ABT,160389022.0000,48.6100,6.4608,6,1735272000,2017,351010,35
001078,01,2017-07-31,ABT,114204788.0000,49.1800,1.7178,7,1735272000,2017,351010,35
001078,01,2017-08-31,ABT,101430914.0000,50.9400,3.5787,8,1737443000,2017,351010,35
001078,01,2017-09-30,ABT,124814809.0000,53.3600,4.7507,9,1737443000,2017,351010,35
001078,01,2017-10-31,ABT,124880418.0000,54.2300,2.1271,10,1737443000,2017,351010,35
001078,01,2017-11-30,ABT,110235408.0000,56.3700,3.9462,11,1740601000,2017,351010,35
