gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,actq,atq,ceqq,dlcq,dlttq,dpq,dvpq,glaq,glpq,lctq,ltq,niitq,niq,piq,revtq,txtq,uceqq,xintq,capxy,oancfy,costat,dvpspq,prclq
001414,2015-03-31,2015,1,INDL,C,D,STD,PRI,USD,2015Q1,2015Q1,,10724.2140,1239.4210,0.0000,612.5450,2.6330,0.0000,,,,9484.7930,,43.4010,66.8090,344.6550,23.4080,,8.6760,1.6350,66.4020,A,0.1600,49.190000000000
001414,2015-06-30,2015,2,INDL,C,D,STD,PRI,USD,2015Q2,2015Q2,,10781.1810,1197.6260,0.0000,702.5580,2.7400,0.0000,,,,9583.5550,,49.1730,76.8260,350.3880,27.6530,,8.6420,4.9560,85.3060,A,0.1600,43.396000000000
001414,2015-09-30,2015,3,INDL,C,D,STD,PRI,USD,2015Q3,2015Q3,,10562.8650,1146.6810,0.0000,730.5720,2.8280,0.0000,,,,9416.1840,,49.3500,74.9530,355.7080,25.6030,,8.7180,5.9240,140.9920,A,0.1600,40.360000000000
001414,2015-12-31,2015,4,INDL,C,D,STD,PRI,USD,2015Q4,2015Q4,,10612.1190,1145.7720,0.0000,739.8050,2.7970,0.0000,,,,9466.3470,,47.9470,72.3930,353.4480,24.4460,,7.4710,7.3990,259.0890,A,0.1600,44.180000000000
001414,2016-03-31,2016,1,INDL,C,D,STD,PRI,USD,2016Q1,2016Q1,,11012.7880,1172.7580,0.0000,776.7220,3.1390,0.0000,,,,9840.0300,,45.1760,70.2120,362.6010,25.0360,,7.1730,7.7610,34.9170,A,0.1700,37.090000000000
001414,2016-06-30,2016,2,INDL,C,D,STD,PRI,USD,2016Q2,2016Q2,,11204.6080,1207.4660,0.0000,802.9680,3.9690,0.0000,,,,9997.1420,,59.3260,91.8800,378.9930,32.5540,,7.1780,10.6790,103.9010,A,0.1700,42.740000000000
001414,2016-09-30,2016,3,INDL,C,D,STD,PRI,USD,2016Q3,2016Q3,,11368.6830,1220.8930,0.0000,826.0740,3.7710,0.0000,,,,10147.7900,,58.0380,88.4390,383.6270,30.4010,,7.1830,11.4100,164.8880,A,0.1800,49.690000000000
001414,2016-12-31,2016,4,INDL,C,D,STD,PRI,USD,2016Q4,2016Q4,,11438.9430,1221.3740,0.0000,875.4100,3.7160,0.0000,,,,10217.5690,,56.8740,87.0640,393.8630,30.1900,,7.1570,13.6690,292.1670,A,0.1800,52.750000000000
001414,2017-03-31,2017,1,INDL,C,D,STD,PRI,USD,2017Q1,2017Q1,,11669.9970,1246.4980,0.0000,907.4460,3.4090,0.0000,,,,10423.4990,,52.0700,74.8420,405.1640,22.7720,,7.1270,3.1340,52.5470,A,0.1900,69.000000000000
001414,2017-06-30,2017,2,INDL,C,D,STD,PRI,USD,2017Q2,2017Q2,,11945.2980,1269.2530,0.0000,1008.0830,3.5850,0.0000,,,,10676.0450,,63.1060,96.3880,413.6960,33.2820,,7.1440,6.1940,119.8700,A,0.1900,70.000000000000
001414,2017-09-30,2017,3,INDL,C,D,STD,PRI,USD,2017Q3,2017Q3,,12206.8390,1280.5300,0.0000,1061.2510,3.3290,0.0000,,,,10926.3090,,66.6370,100.2020,427.3010,33.5650,,7.0730,7.9650,209.7990,A,0.2000,71.600000000000
001414,2017-12-31,2017,4,INDL,C,D,STD,PRI,USD,2017Q4,2017Q4,,12460.7030,1419.1010,0.0000,1109.6690,3.2280,0.0000,,,,11041.6020,,168.4420,108.0880,442.9410,-60.3540,,7.1440,6.7520,388.5240,A,0.2000,81.400000000000
001414,2018-03-31,2018,1,INDL,C,D,STD,PRI,USD,2018Q1,2018Q1,,12492.7390,1426.5010,0.0000,1169.0780,3.0440,0.0000,,,,11066.2380,,65.7150,82.9630,459.9230,17.2480,,7.1730,2.0800,46.3990,A,0.2500,91.550000000000
001414,2018-06-30,2018,2,INDL,C,D,STD,PRI,USD,2018Q2,2018Q2,,12496.6410,1400.5840,0.0000,1216.5470,2.9500,0.0000,,,,11096.0570,,86.6990,113.7640,467.8140,27.0650,,7.2280,6.1540,164.0350,A,0.2500,90.050000000000
001414,2018-09-30,2018,3,INDL,C,D,STD,PRI,USD,2018Q3,2018Q3,,12707.5290,1443.4560,0.0000,1264.7060,3.1280,0.0000,,,,11264.0730,,85.1360,111.4330,484.7810,26.2970,,7.2160,11.0130,285.2800,A,0.2500,98.750000000000
001414,2018-12-31,2018,4,INDL,C,D,STD,PRI,USD,2018Q4,2018Q4,,12595.0480,1461.5130,0.0000,1343.3460,3.2950,0.0000,,,,11133.5350,,86.5440,107.9240,487.3250,21.3800,,7.1920,13.5170,478.0670,A,0.2500,90.280000000000
001414,2019-03-31,2019,1,INDL,C,D,STD,PRI,USD,2019Q1,2019Q1,,13076.6290,1521.3860,,1466.6510,4.1560,0.0000,,,,11555.2430,,79.1650,102.3680,494.9870,23.2030,,7.1800,6.5940,66.4210,A,0.3400,94.120000000000
001414,2019-06-30,2019,2,INDL,C,D,STD,PRI,USD,2019Q2,2019Q2,,13317.7060,1585.9250,,1517.4240,4.3340,0.0000,,,,11731.7810,,97.4460,127.4600,504.9040,30.0140,,7.2010,15.9030,185.0850,A,0.3400,113.140000000000
001414,2019-09-30,2019,3,INDL,C,D,STD,PRI,USD,2019Q3,2019Q3,,13451.7340,1607.8110,,1568.9610,4.7950,0.0000,,,,11843.9230,,96.2230,125.1380,520.6530,28.9150,,7.2080,19.9880,321.3310,A,0.3400,108.750000000000
001414,2019-12-31,2019,4,INDL,C,D,STD,PRI,USD,2019Q4,2019Q4,,13688.5310,1652.4910,,1611.9880,5.0150,0.0000,,,,12036.0400,,93.5570,122.1450,531.9600,28.5880,,7.2220,25.4370,485.5130,A,0.3400,116.990000000000
001414,2020-03-31,2020,1,INDL,C,D,STD,PRI,USD,2020Q1,2020Q1,,13270.9110,1530.1140,,1666.0900,3.9400,0.0000,,,,11740.7970,,72.4690,94.5460,524.9360,22.0770,,7.1920,9.9210,131.5220,A,0.4000,61.200000000000
001414,2020-06-30,2020,2,INDL,C,D,STD,PRI,USD,2020Q2,2020Q2,,13964.5490,1642.6800,,1706.8760,3.8790,0.0000,,,,12321.8690,,101.5100,134.0620,525.8150,32.5520,,7.2000,19.3720,316.4250,A,0.4000,78.490000000000
001414,2020-09-30,2020,3,INDL,C,D,STD,PRI,USD,2020Q3,2020Q3,,14300.5300,1720.4460,,1751.3550,4.6670,0.0000,,,,12580.0840,,112.1010,146.4820,568.4620,34.3810,,7.2220,22.4500,403.9530,A,0.4000,109.160000000000
